Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Population [Pop],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Cost of a healthy diet [CoHD],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp]
Food Prices for Nutrition 1.1,FPN 1.1,Bermuda,BMU,2017,YR2017,63873,..,..,4.072,0.387
Food Prices for Nutrition 1.1,FPN 1.1,Bermuda,BMU,2018,YR2018,63918,..,..,3.842,..
Food Prices for Nutrition 1.1,FPN 1.1,Bermuda,BMU,2019,YR2019,63911,..,..,3.788,..
Food Prices for Nutrition 1.1,FPN 1.1,Bermuda,BMU,2020,YR2020,63893,..,..,3.616,..
Food Prices for Nutrition 1.1,FPN 1.1,Bhutan,BTN,2017,YR2017,756121,51.2,0.4,4.383,0.753
Food Prices for Nutrition 1.1,FPN 1.1,Bhutan,BTN,2018,YR2018,762096,45.1,0.3,4.587,..
Food Prices for Nutrition 1.1,FPN 1.1,Bhutan,BTN,2019,YR2019,767459,43,0.3,4.712,..
Food Prices for Nutrition 1.1,FPN 1.1,Bhutan,BTN,2020,YR2020,772506,46.1,0.4,5.029,..
Food Prices for Nutrition 1.1,FPN 1.1,Bolivia,BOL,2017,YR2017,11435533,20.9,2.4,3.551,0.624
Food Prices for Nutrition 1.1,FPN 1.1,Bolivia,BOL,2018,YR2018,11606905,19.1,2.2,3.648,..
Food Prices for Nutrition 1.1,FPN 1.1,Bolivia,BOL,2019,YR2019,11777315,16,1.9,3.769,..
Food Prices for Nutrition 1.1,FPN 1.1,Bolivia,BOL,2020,YR2020,11936162,15.5,1.8,3.755,..
Food Prices for Nutrition 1.1,FPN 1.1,Bonaire,BON,2017,YR2017,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bonaire,BON,2018,YR2018,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bonaire,BON,2019,YR2019,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bonaire,BON,2020,YR2020,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bosnia and Herzegovina,BIH,2017,YR2017,3440027,4.6,0.2,3.847,0.487
Food Prices for Nutrition 1.1,FPN 1.1,Bosnia and Herzegovina,BIH,2018,YR2018,3400129,4,0.1,3.89,..
Food Prices for Nutrition 1.1,FPN 1.1,Bosnia and Herzegovina,BIH,2019,YR2019,3360711,3.6,0.1,3.895,..
Food Prices for Nutrition 1.1,FPN 1.1,Bosnia and Herzegovina,BIH,2020,YR2020,3318407,3.7,0.1,3.995,..
Food Prices for Nutrition 1.1,FPN 1.1,Botswana,BWA,2017,YR2017,2401840,63.2,1.5,3.622,0.274
Food Prices for Nutrition 1.1,FPN 1.1,Botswana,BWA,2018,YR2018,2451409,61,1.5,3.575,..
Food Prices for Nutrition 1.1,FPN 1.1,Botswana,BWA,2019,YR2019,2499702,60.1,1.5,3.591,..
Food Prices for Nutrition 1.1,FPN 1.1,Botswana,BWA,2020,YR2020,2546402,60.9,1.5,3.701,..
Food Prices for Nutrition 1.1,FPN 1.1,Brazil,BRA,2017,YR2017,208504960,19.6,41,2.809,0.634
Food Prices for Nutrition 1.1,FPN 1.1,Brazil,BRA,2018,YR2018,210166592,18.5,38.9,2.8,..
Food Prices for Nutrition 1.1,FPN 1.1,Brazil,BRA,2019,YR2019,211782878,18.8,39.6,2.882,..
Food Prices for Nutrition 1.1,FPN 1.1,Brazil,BRA,2020,YR2020,213196304,20.2,42.5,3.084,..
Food Prices for Nutrition 1.1,FPN 1.1,British Virgin Islands,VGB,2017,YR2017,30060,..,..,3.235,0.358
Food Prices for Nutrition 1.1,FPN 1.1,British Virgin Islands,VGB,2018,YR2018,30335,..,..,3.153,..
Food Prices for Nutrition 1.1,FPN 1.1,British Virgin Islands,VGB,2019,YR2019,30610,..,..,3.313,..
Food Prices for Nutrition 1.1,FPN 1.1,British Virgin Islands,VGB,2020,YR2020,30910,..,..,3.337,..
Food Prices for Nutrition 1.1,FPN 1.1,Brunei Darussalam,BRN,2017,YR2017,430276,..,..,4.126,0.772
Food Prices for Nutrition 1.1,FPN 1.1,Brunei Darussalam,BRN,2018,YR2018,434274,..,..,4.263,..
Food Prices for Nutrition 1.1,FPN 1.1,Brunei Darussalam,BRN,2019,YR2019,438048,..,..,4.327,..
Food Prices for Nutrition 1.1,FPN 1.1,Brunei Darussalam,BRN,2020,YR2020,441725,..,..,4.405,..
Food Prices for Nutrition 1.1,FPN 1.1,Bulgaria,BGR,2017,YR2017,7075947,10.6,0.8,3.78,0.576
Food Prices for Nutrition 1.1,FPN 1.1,Bulgaria,BGR,2018,YR2018,7025037,8.6,0.6,3.859,..
Food Prices for Nutrition 1.1,FPN 1.1,Bulgaria,BGR,2019,YR2019,6975761,7.8,0.5,3.896,..
Food Prices for Nutrition 1.1,FPN 1.1,Bulgaria,BGR,2020,YR2020,6934015,8.2,0.6,4.108,..
Food Prices for Nutrition 1.1,FPN 1.1,Burkina Faso,BFA,2017,YR2017,19835858,82.9,16.4,3.173,1.997
Food Prices for Nutrition 1.1,FPN 1.1,Burkina Faso,BFA,2018,YR2018,20392723,79.6,16.2,3.296,..
Food Prices for Nutrition 1.1,FPN 1.1,Burkina Faso,BFA,2019,YR2019,20951639,76.8,15.7,3.24,..
Food Prices for Nutrition 1.1,FPN 1.1,Burkina Faso,BFA,2020,YR2020,21522626,77.4,15.8,3.345,..
Food Prices for Nutrition 1.1,FPN 1.1,Burundi,BDI,2017,YR2017,11155593,96.1,10.7,2.988,3.412
Food Prices for Nutrition 1.1,FPN 1.1,Burundi,BDI,2018,YR2018,11493472,95.3,11,2.804,..
Food Prices for Nutrition 1.1,FPN 1.1,Burundi,BDI,2019,YR2019,11874838,95.2,10.9,2.783,..
Food Prices for Nutrition 1.1,FPN 1.1,Burundi,BDI,2020,YR2020,12220227,95.7,11,2.943,..
Food Prices for Nutrition 1.1,FPN 1.1,Cabo Verde,CPV,2017,YR2017,564954,44.5,0.3,3.358,0.753
Food Prices for Nutrition 1.1,FPN 1.1,Cabo Verde,CPV,2018,YR2018,571202,42.3,0.2,3.413,..
Food Prices for Nutrition 1.1,FPN 1.1,Cabo Verde,CPV,2019,YR2019,577030,40,0.2,3.484,..
Food Prices for Nutrition 1.1,FPN 1.1,Cabo Verde,CPV,2020,YR2020,582640,40.6,0.2,3.563,..
Food Prices for Nutrition 1.1,FPN 1.1,Cambodia,KHM,2017,YR2017,15830689,..,..,3.618,0.933
Food Prices for Nutrition 1.1,FPN 1.1,Cambodia,KHM,2018,YR2018,16025238,..,..,3.706,..
