"Centrale/decentrale productie";"Energiedragers";"Perioden";"MWh";"TJ";"%"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2000";"4463986";"16070";"5,0"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2001";"4600083";"16560";"4,9"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2002";"4270076";"15372";"4,5"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2003";"4698004";"16913";"4,8"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2004";"4690026";"16884";"4,6"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2005";"4897662";"17632";"4,9"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2006";"4029141";"14505";"4,1"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2007";"4989536";"17962";"4,7"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2008";"4587985";"16517";"4,2"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2009";"3636909";"13093";"3,2"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2010";"4296264";"15467";"3,6"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2011";"4488974";"16161";"4,0"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2012";"4252910";"15310";"4,1"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2013";"4020145";"14473";"4,0"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2014";"4197758";"15112";"4,1"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2015";"4079096";"14685";"3,7"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2016";"3948401";"14214";"3,4"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2017";"3885060";"13986";"3,3"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2018";"4057172";"14606";"3,6"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2019";"3696956";"13309";"3,0"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2020";"3790520";"13646";"3,1"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2021 **";"4054494";"14596";"3,3"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"1998";"2346091";"8446";"2,5"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"1999";"2528857";"9104";"2,9"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2000";"2992297";"10772";"3,3"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2001";"3313418";"11928";"3,5"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2002";"3979428";"14326";"4,2"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2003";"3968297";"14286";"4,0"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2004";"5320778";"19155";"5,2"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2005";"7465918";"26877";"7,4"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2006";"8068422";"29046";"8,2"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2007";"7605994";"27382";"7,2"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2008";"9480115";"34128";"8,8"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2009";"10836000";"39010";"9,5"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2010";"11214722";"40373";"9,5"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2011";"12341074";"44428";"10,9"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2012";"12543575";"45157";"12,2"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2013";"12211360";"43961";"12,1"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2014";"11707203";"42146";"11,3"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2015";"13689818";"49283";"12,4"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2016";"14778358";"53202";"12,8"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2017";"17434890";"62766";"14,9"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2018";"18904637";"68057";"16,5"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2019";"22795860";"82065";"18,8"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2020";"32739628";"117863";"26,6"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2021 **";"40471497";"145697";"33,1"
"Totaal centrale/decentrale productie";"Zonnestroom";"1998";"3500";"13";"0,0"
"Totaal centrale/decentrale productie";"Zonnestroom";"1999";"5270";"19";"0,0"
"Totaal centrale/decentrale productie";"Zonnestroom";"2000";"7710";"28";"0,0"
"Totaal centrale/decentrale productie";"Zonnestroom";"2001";"13060";"47";"0,0"
"Totaal centrale/decentrale productie";"Zonnestroom";"2002";"17040";"61";"0,0"
"Totaal centrale/decentrale productie";"Zonnestroom";"2003";"30740";"111";"0,0"
"Totaal centrale/decentrale productie";"Zonnestroom";"2004";"33140";"119";"0,0"
"Totaal centrale/decentrale productie";"Zonnestroom";"2005";"34199";"123";"0,0"
"Totaal centrale/decentrale productie";"Zonnestroom";"2006";"35223";"127";"0,0"
"Totaal centrale/decentrale productie";"Zonnestroom";"2007";"35712";"129";"0,0"
"Totaal centrale/decentrale productie";"Zonnestroom";"2008";"38889";"140";"0,0"
"Totaal centrale/decentrale productie";"Zonnestroom";"2009";"44444";"160";"0,0"
"Totaal centrale/decentrale productie";"Zonnestroom";"2010";"59444";"214";"0,1"
"Totaal centrale/decentrale productie";"Zonnestroom";"2011";"100344";"361";"0,1"
"Totaal centrale/decentrale productie";"Zonnestroom";"2012";"253753";"914";"0,2"
"Totaal centrale/decentrale productie";"Zonnestroom";"2013";"515900";"1857";"0,5"
"Totaal centrale/decentrale productie";"Zonnestroom";"2014";"784762";"2825";"0,8"
"Totaal centrale/decentrale productie";"Zonnestroom";"2015";"1108520";"3991";"1,0"
"Totaal centrale/decentrale productie";"Zonnestroom";"2016";"1601808";"5767";"1,4"
"Totaal centrale/decentrale productie";"Zonnestroom";"2017";"2204346";"7936";"1,9"
"Totaal centrale/decentrale productie";"Zonnestroom";"2018";"3707792";"13348";"3,2"
"Totaal centrale/decentrale productie";"Zonnestroom";"2019";"5399406";"19438";"4,4"
"Totaal centrale/decentrale productie";"Zonnestroom";"2020";"8568310";"30846";"7,0"
"Totaal centrale/decentrale productie";"Zonnestroom";"2021 **";"11495464";"41384";"9,4"
"Totaal centrale/decentrale productie";"Windenergie";"1998";"640000";"2304";"0,7"
"Totaal centrale/decentrale productie";"Windenergie";"1999";"645000";"2322";"0,7"
"Totaal centrale/decentrale productie";"Windenergie";"2000";"829000";"2984";"0,9"
"Totaal centrale/decentrale productie";"Windenergie";"2001";"825000";"2970";"0,9"
"Totaal centrale/decentrale productie";"Windenergie";"2002";"946000";"3406";"1,0"
"Totaal centrale/decentrale productie";"Windenergie";"2003";"1318000";"4745";"1,3"
"Totaal centrale/decentrale productie";"Windenergie";"2004";"1867000";"6721";"1,8"
"Totaal centrale/decentrale productie";"Windenergie";"2005";"2067000";"7441";"2,1"
"Totaal centrale/decentrale productie";"Windenergie";"2006";"2734000";"9842";"2,8"
"Totaal centrale/decentrale productie";"Windenergie";"2007";"3437000";"12373";"3,3"
"Totaal centrale/decentrale productie";"Windenergie";"2008";"4258333";"15330";"3,9"
"Totaal centrale/decentrale productie";"Windenergie";"2009";"4583333";"16500";"4,0"
"Totaal centrale/decentrale productie";"Windenergie";"2010";"3993056";"14375";"3,4"
"Totaal centrale/decentrale productie";"Windenergie";"2011";"5100171";"18361";"4,5"
"Totaal centrale/decentrale productie";"Windenergie";"2012";"4981829";"17935";"4,9"
"Totaal centrale/decentrale productie";"Windenergie";"2013";"5627148";"20258";"5,6"
"Totaal centrale/decentrale productie";"Windenergie";"2014";"5797334";"20870";"5,6"
"Totaal centrale/decentrale productie";"Windenergie";"2015";"7549858";"27179";"6,9"
"Totaal centrale/decentrale productie";"Windenergie";"2016";"8170446";"29414";"7,1"
"Totaal centrale/decentrale productie";"Windenergie";"2017";"10568801";"38048";"9,0"
"Totaal centrale/decentrale productie";"Windenergie";"2018";"10548511";"37975";"9,2"
"Totaal centrale/decentrale productie";"Windenergie";"2019";"11507927";"41429";"9,5"
"Totaal centrale/decentrale productie";"Windenergie";"2020";"15277726";"55000";"12,4"
